Date,spot_ER_Brazil,SR_interest_rate_brazil,SR_interest_rate_USA,SR_Interest_rate_diff_B_U,CPI_Inflation_Brazil,CPI_inflation_USA,CPI_inflation_diff_B_U,Oil_price_growth_rate_WTI,global_EPU_PPP,log_GEPU,gprc_brazil,US_EMV,US_MPU
1997-01-01,1.04,25.05,5.25,19.8,9.39,3.04,6.35,33.32,76.65295539,1.884528904,0.02,21.0498,83
1997-02-01,1.05,24.46,5.19,19.27,8.82,3.03,5.78,16.44,80.08116938,1.903530406,0.01,19.481,88
1997-03-01,1.06,23.87,5.39,18.48,8.99,2.76,6.23,-1.7,65.3754012,1.815414367,0.02,22.9562,91
1997-04-01,1.06,23.58,5.51,18.07,8.58,2.5,6.09,-16.22,74.74248366,1.873567525,0.04,23.8621,79
1997-05-01,1.07,23.58,5.5,18.08,7.71,2.23,5.48,-1.94,73.5207368,1.866409851,0.02,17.6622,117
1997-06-01,1.07,23.58,5.56,18.02,7.02,2.3,4.72,-6.28,79.76479826,1.901811271,0.01,20.716,52
1997-07-01,1.08,23.58,5.52,18.06,6.08,2.23,3.85,-7.9,61.80750875,1.791041239,0.02,20.1744,68
1997-08-01,1.09,23.58,5.54,18.04,5.59,2.23,3.37,-9.12,58.75933249,1.769076854,0.03,20.9497,54
1997-09-01,1.09,23.58,5.54,18.04,5.5,2.15,3.34,-17.26,64.90825988,1.812299966,0.02,19.0894,43
1997-10-01,1.1,24.5,5.5,19,5.42,2.08,3.34,-14.61,78.46978399,1.894702457,0.05,32.7025,104
1997-11-01,1.11,46.44,5.52,40.92,5.27,1.83,3.44,-15.34,89.57502247,1.952186926,0.03,28.9908,92
1997-12-01,1.11,45.09,5.5,39.59,5.22,1.7,3.52,-28.24,94.7603401,1.976626611,0.03,25.8091,114
1998-01-01,1.12,42.9,5.56,37.34,4.73,1.57,3.16,-33.54,92.53541529,1.966307978,0.03,32.1575,115
1998-02-01,1.13,42,5.51,36.49,4.69,1.44,3.25,-27.71,80.72247067,1.906994446,0.03,20.0263,155
1998-03-01,1.13,38.54,5.49,33.05,4.52,1.37,3.14,-28.38,81.61952572,1.911794067,0.04,17.9403,67
1998-04-01,1.14,36.55,5.45,31.1,3.85,1.44,2.42,-22.64,71.77646482,1.855982064,0.02,22.2622,84
1998-05-01,1.15,33.3,5.49,27.81,3.95,1.69,2.26,-28.81,79.39798589,1.899809486,0.05,22.9888,127
1998-06-01,1.15,29.41,5.56,23.85,3.41,1.68,1.72,-28.69,80.0946193,1.903603341,0.08,24.2027,72
1998-07-01,1.16,27.8,5.54,22.26,3.06,1.68,1.38,-28.17,96.18788872,1.983120392,0.02,27.6376,75
1998-08-01,1.17,25.75,5.55,20.2,2.55,1.62,0.94,-32.94,105.8453873,2.024671936,0.07,39.7531,167
1998-09-01,1.18,42.34,5.51,36.83,2.27,1.49,0.78,-24.52,137.4257123,2.138067997,0.02,50.1519,166
1998-10-01,1.19,49.75,5.07,44.68,2.05,1.49,0.57,-32.34,113.4011123,2.054617314,0.03,43.7855,113
1998-11-01,1.19,44.88,4.83,40.05,1.76,1.55,0.21,-36.32,89.47378557,1.951695812,0.05,34.8591,179
1998-12-01,1.21,39.41,4.68,34.73,1.65,1.61,0.04,-38.46,87.53263586,1.942170007,0.04,25.6414,83
1999-01-01,1.51,38.25,4.63,33.62,1.65,1.67,-0.03,-25.74,95.32168988,1.979191733,0.07,34.0182,135
1999-02-01,1.93,41,4.76,36.24,2.24,1.61,0.64,-25.26,77.95732359,1.891856921,0.03,21.4388,102
1999-03-01,1.91,46,4.81,41.19,3.02,1.73,1.29,-2.39,61.62885796,1.78978412,0.04,22.8771,62
1999-04-01,1.7,32,4.74,27.26,3.35,2.28,1.07,13.49,58.40311426,1.766436006,0.03,21.4323,63
1999-05-01,1.69,27.34,4.74,22.6,3.14,2.09,1.05,19.51,72.05566455,1.857668128,0,19.4834,94
1999-06-01,1.77,22.17,4.76,17.41,3.32,1.96,1.35,30.96,70.95704301,1.850995509,0.02,20.6015,116
1999-07-01,1.8,20.85,4.99,15.86,4.57,2.14,2.42,42.25,70.46956739,1.848001605,0.03,23.3921,116
1999-08-01,1.89,19.5,5.07,14.43,5.69,2.26,3.43,59.08,61.10668178,1.786088701,0.03,26.1307,81
1999-09-01,1.9,19.37,5.22,14.15,6.25,2.63,3.62,59.38,65.15569043,1.813952351,0.03,22.0963,97
1999-10-01,1.97,19,5.2,13.8,7.5,2.56,4.94,57.01,66.89729979,1.825408588,0.02,25.3247,106
1999-11-01,1.93,19,5.42,13.58,8.65,2.62,6.03,96.21,65.20304535,1.81426788,0.02,19.4461,110
1999-12-01,1.84,19,5.3,13.7,8.94,2.68,6.26,131.14,56.47255497,1.751837437,0.03,17.2369,86
2000-01-01,1.81,19,5.45,13.55,8.85,2.74,6.11,118.92,61.92893546,1.791893615,0.03,24.4129,74
2000-02-01,1.78,19,5.73,13.27,7.86,3.22,4.64,144.6,54.16669178,1.733732312,0.02,19.9134,37
2000-03-01,1.74,18.95,5.85,13.1,6.92,3.76,3.17,103.89,57.8551765,1.762342223,0.02,26.1047,117
2000-04-01,1.77,18.5,6.02,12.48,6.77,3.07,3.71,49.03,60.73983329,1.783473596,0.03,43.4291,78
2000-05-01,1.83,18.5,6.27,12.23,6.47,3.19,3.28,62.5,83.03057365,1.919238038,0.02,34.3084,155
