Date,spot_ER_China,SR_interest_rate_china,SR_interest_rate_USA,SR_Interest_rate_diff_B_U,CPI_Inflation_China,CPI_inflation_USA,CPI_inflation_diff_C_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_china,US_EMV,US_MPU
1997-01-01,8.33,9,5.25,3.75,5.9,3.04,2.86,33.32,76.65,0.1,21.05,83
1997-02-01,8.32,9,5.19,3.81,5.6,3.03,2.57,16.44,80.08,0.21,19.48,88
1997-03-01,8.33,9,5.39,3.61,4,2.76,1.24,-1.7,65.38,0.19,22.96,91
1997-04-01,8.33,8.55,5.51,3.04,3.2,2.5,0.7,-16.22,74.74,0.27,23.86,79
1997-05-01,8.32,6.39,5.5,0.89,2.8,2.23,0.56,-1.94,73.52,0.2,17.66,117
1997-06-01,8.32,6.39,5.56,0.83,2.8,2.3,0.5,-6.28,79.76,0.18,20.72,52
1997-07-01,8.32,5.22,5.52,-0.3,2.7,2.23,0.47,-7.9,61.81,0.18,20.17,68
1997-08-01,8.32,4.59,5.54,-0.95,1.9,2.23,-0.33,-9.12,58.76,0.14,20.95,54
1997-09-01,8.32,4.59,5.54,-0.95,1.8,2.15,-0.35,-17.26,64.91,0.15,19.09,43
1997-10-01,8.31,3.24,5.5,-2.26,1.5,2.08,-0.58,-14.61,78.47,0.29,32.7,104
1997-11-01,8.31,3.24,5.52,-2.28,1.1,1.83,-0.73,-15.34,89.58,0.42,28.99,92
1997-12-01,8.31,3.24,5.5,-2.26,0.4,1.7,-1.3,-28.24,94.76,0.15,25.81,114
1998-01-01,8.31,3.24,5.56,-2.32,0.3,1.57,-1.27,-33.54,92.54,0.24,32.16,115
1998-02-01,8.31,3.24,5.51,-2.27,-0.1,1.44,-1.54,-27.71,80.72,0.31,20.03,155
1998-03-01,8.31,3.24,5.49,-2.25,0.7,1.37,-0.68,-28.38,81.62,0.17,17.94,67
1998-04-01,8.31,3.24,5.45,-2.21,-0.3,1.44,-1.74,-22.64,71.78,0.18,22.26,84
1998-05-01,8.31,3.24,5.49,-2.25,-1,1.69,-2.69,-28.81,79.4,0.8,22.99,127
1998-06-01,8.31,3.24,5.56,-2.32,-1.3,1.68,-2.98,-28.69,80.09,0.53,24.2,72
1998-07-01,8.31,3.24,5.54,-2.3,-1.4,1.68,-3.08,-28.17,96.19,0.33,27.64,75
