Date,spot_ER_India,SR_interest_rate_india,SR_interest_rate_USA,SR_Interest_rate_diff_I_U,CPI_Inflation_India,CPI_inflation_USA,CPI_inflation_diff_I_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_india,US_EMV,US_MPU
1997-01-01,35.9,12,5.25,6.75,11.11,3.04,8.07,33.32,76.65,0.1,21.05,83
1997-02-01,35.89,12,5.19,6.81,10.76,3.03,7.73,16.44,80.08,0.07,19.48,88
1997-03-01,35.88,12,5.39,6.61,10.03,2.76,7.27,-1.7,65.38,0.07,22.96,91
1997-04-01,35.83,11,5.51,5.49,9.26,2.5,6.76,-16.22,74.74,0.06,23.86,79
1997-05-01,35.82,11,5.5,5.5,7.32,2.23,5.08,-1.94,73.52,0.08,17.66,117
1997-06-01,35.82,10,5.56,4.44,6.61,2.3,4.31,-6.28,79.76,0.04,20.72,52
1997-07-01,35.75,10,5.52,4.48,5.6,2.23,3.38,-7.9,61.81,0.05,20.17,68
1997-08-01,36.01,10,5.54,4.46,4.66,2.23,2.44,-9.12,58.76,0.05,20.95,54
1997-09-01,36.48,10,5.54,4.46,4.94,2.15,2.79,-17.26,64.91,0.07,19.09,43
1997-10-01,36.3,9,5.5,3.5,5.49,2.08,3.41,-14.61,78.47,0.08,32.7,104
1997-11-01,37.29,9,5.52,3.48,4.87,1.83,3.04,-15.34,89.58,0.11,28.99,92
1997-12-01,39.4,9,5.5,3.5,6.29,1.7,4.58,-28.24,94.76,0.09,25.81,114
1998-01-01,39.39,11,5.56,5.44,9.71,1.57,8.14,-33.54,92.54,0.08,32.16,115
1998-02-01,39.01,11,5.51,5.49,9.14,1.44,7.7,-27.71,80.72,0.15,20.03,155
1998-03-01,39.57,10.5,5.49,5.01,8.26,1.37,6.89,-28.38,81.62,0.13,17.94,67
1998-04-01,39.7,10,5.45,4.55,8.19,1.44,6.76,-22.64,71.78,0.07,22.26,84
1998-05-01,40.47,9,5.49,3.51,10.51,1.69,8.82,-28.81,79.4,1.13,22.99,127
1998-06-01,42.37,9,5.56,3.44,12.39,1.68,10.71,-28.69,80.09,0.63,24.2,72
1998-07-01,42.61,9,5.54,3.46,14.8,1.68,13.12,-28.17,96.19,0.31,27.64,75
1998-08-01,42.84,9,5.55,3.45,15.04,1.62,13.42,-32.94,105.85,0.26,39.75,167
1998-09-01,42.58,9,5.51,3.49,16.34,1.49,14.85,-24.52,137.43,0.23,50.15,166
1998-10-01,42.39,9,5.07,3.93,18.63,1.49,17.14,-32.34,113.4,0.12,43.79,113
1998-11-01,42.43,9,4.83,4.17,19.67,1.55,18.12,-36.32,89.47,0.16,34.86,179
1998-12-01,42.59,9,4.68,4.32,15.32,1.61,13.71,-38.46,87.53,0.22,25.64,83
1999-01-01,42.55,9,4.63,4.37,9.38,1.67,7.7,-25.74,95.32,0.09,34.02,135
1999-02-01,42.53,9,4.76,4.24,8.64,1.61,7.03,-25.26,77.96,0.15,21.44,102
1999-03-01,42.52,8,4.81,3.19,8.95,1.73,7.22,-2.39,61.63,0.13,22.88,62
1999-04-01,42.8,8,4.74,3.26,8.36,2.28,6.08,13.49,58.4,0.15,21.43,63
1999-05-01,42.86,8,4.74,3.26,7.71,2.09,5.62,19.51,72.06,0.18,19.48,94
1999-06-01,43.21,8,4.76,3.24,5.26,1.96,3.3,30.96,70.96,0.31,20.6,116
1999-07-01,43.36,8,4.99,3.01,3.16,2.14,1.02,42.25,70.47,0.28,23.39,116
1999-08-01,43.5,8,5.07,2.93,3.15,2.26,0.88,59.08,61.11,0.23,26.13,81
1999-09-01,43.6,8,5.22,2.78,2.14,2.63,-0.49,59.38,65.16,0.13,22.1,97
1999-10-01,43.55,8,5.2,2.8,0.92,2.56,-1.64,57.01,66.9,0.38,25.32,106
1999-11-01,43.46,8,5.42,2.58,0,2.62,-2.62,96.21,65.2,0.15,19.45,110
1999-12-01,43.52,8,5.3,2.7,0.47,2.68,-2.22,131.14,56.47,0.23,17.24,86
2000-01-01,43.59,8,5.45,2.55,2.62,2.74,-0.12,118.92,61.93,0.25,24.41,74
2000-02-01,43.65,8,5.73,2.27,3.61,3.22,0.39,144.6,54.17,0.15,19.91,37
2000-03-01,43.64,8,5.85,2.15,4.83,3.76,1.07,103.89,57.86,0.21,26.1,117
2000-04-01,43.68,7,6.02,0.98,5.54,3.07,2.47,49.03,60.74,0.12,43.43,78
2000-05-01,44.08,7,6.27,0.73,5.01,3.19,1.82,62.5,83.03,0.41,34.31,155
2000-06-01,44.76,7,6.53,0.47,5.24,3.73,1.51,78.09,82.19,0.23,24.22,117
2000-07-01,44.84,8,6.54,1.46,4.95,3.66,1.29,49.51,58.75,0.25,20.33,73
2000-08-01,45.77,8,6.5,1.5,3.99,3.41,0.58,46.86,51.14,0.21,18.05,64
2000-09-01,45.97,8,6.52,1.48,3.5,3.45,0.04,42.29,61.39,0.14,18.6,58
2000-10-01,46.43,8,6.51,1.49,2.75,3.45,-0.7,46.41,67.85,0.12,28.47,135
2000-11-01,46.82,8,6.51,1.49,2.74,3.45,-0.71,37.8,103.55,0.11,30.65,227
2000-12-01,46.78,8,6.4,1.6,3.48,3.39,0.09,9.01,97.45,0.16,34.11,156
2001-01-01,46.61,8,5.98,2.02,3.25,3.73,-0.48,8.29,94.59,0.15,28.86,142
2001-02-01,46.56,7.5,5.49,2.01,3.02,3.53,-0.51,0.75,93.79,0.17,20.95,127
2001-03-01,46.65,7,5.31,1.69,2.53,2.92,-0.39,-8.87,105.65,0.1,31.15,130
2001-04-01,46.79,7,4.8,2.2,2.28,3.27,-0.99,6.41,100.74,0.09,27.16,122
2001-05-01,46.95,7,4.21,2.79,2.5,3.62,-1.12,-0.77,80.03,0.12,22.15,123
2001-06-01,47.04,7,3.97,3.03,3.39,3.25,0.15,-13.37,69.43,0.12,17.06,85
2001-07-01,47.18,7,3.77,3.23,4.04,2.72,1.33,-11.83,94.41,0.17,22.32,107
2001-08-01,47.17,7,3.65,3.35,5.19,2.72,2.47,-12.01,84.08,0.12,19.97,112
2001-09-01,47.75,7,3.07,3.93,4.73,2.65,2.08,-22.59,167.84,0.94,42.43,239
2001-10-01,48.05,6.5,2.49,4.01,4.23,2.13,2.11,-32.85,166.14,0.95,29.34,256
2001-11-01,48.04,6.5,2.09,4.41,4.89,1.9,2.99,-43.32,120.09,0.57,26.4,156
2001-12-01,47.93,6.5,1.82,4.68,5.16,1.55,3.61,-31.95,103.96,0.74,24.36,120
2002-01-01,48.35,6.5,1.73,4.77,4.94,1.14,3.8,-33.49,104.61,0.81,28.65,122
2002-02-01,48.72,6.5,1.74,4.76,5.19,1.14,4.05,-29.77,88.28,0.32,24.85,43
2002-03-01,48.77,6.5,1.73,4.77,5.17,1.48,3.69,-10.03,79.13,0.22,17.77,109
2002-04-01,48.94,6.5,1.75,4.75,4.69,1.64,3.05,-4.33,82.52,0.19,20.09,115
2002-05-01,49.02,6.5,1.75,4.75,4.66,1.18,3.47,-5.62,75.04,0.71,18.92,110
2002-06-01,48.98,6.5,1.75,4.75,4.16,1.07,3.09,-7.54,93.43,0.9,24.8,137
2002-07-01,48.79,6.5,1.73,4.77,3.89,1.46,2.42,1.87,94.25,0.33,51.59,72
2002-08-01,48.62,6.5,1.74,4.76,3.86,1.8,2.06,3.33,103.82,0.27,39.48,166
2002-09-01,48.46,6.5,1.75,4.75,4.3,1.51,2.79,13.06,120.79,0.25,31.97,149
2002-10-01,48.39,6.5,1.75,4.75,4.06,2.03,2.03,29.91,117.62,0.28,31.46,161
2002-11-01,48.29,6.25,1.34,4.91,3.6,2.2,1.4,34.42,116.31,0.19,23.59,220
2002-12-01,48.15,6.25,1.24,5.01,3.2,2.38,0.82,52.96,113.59,0.3,24.48,137
2003-01-01,47.96,6.25,1.24,5.01,3.43,2.6,0.83,67.85,117.03,0.29,26.34,220
2003-02-01,47.75,6.25,1.26,4.99,3.86,2.98,0.88,72.87,125.2,0.25,22.73,179
2003-03-01,47.68,6.25,1.25,5,4.06,3.02,1.04,35.54,158.93,0.33,30.03,332
2003-04-01,47.39,6.25,1.26,4.99,5.12,2.22,2.89,7.96,128.15,0.21,25.45,181
