Date,spot_ER_Russia,SR_interest_rate_russia,SR_interest_rate_USA,SR_Interest_rate_diff_R_U,CPI_Inflation_Russia,CPI_inflation_USA,CPI_inflation_diff_R_U,Oil_price_growth_rate_WTI,global_EPU_PPP,gprc_russia,US_EMV,US_MPU
1997-01-01,5.63,48,5.25,42.75,19.74,3.04,16.7,33.32,76.65,0.28,21.05,83
1997-02-01,5.68,42,5.19,36.81,18.28,3.03,15.25,16.44,80.08,0.36,19.48,88
1997-03-01,5.73,42,5.39,36.61,16.71,2.76,13.95,-1.7,65.38,0.36,22.96,91
1997-04-01,5.76,36,5.51,30.49,15.34,2.5,12.84,-16.22,74.74,0.3,23.86,79
1997-05-01,5.77,36,5.5,30.5,14.59,2.23,12.35,-1.94,73.52,0.36,17.66,117
1997-06-01,5.78,24,5.56,18.44,14.51,2.3,12.21,-6.28,79.76,0.2,20.72,52
1997-07-01,5.8,24,5.52,18.48,14.75,2.23,12.52,-7.9,61.81,0.23,20.17,68
1997-08-01,5.83,24,5.54,18.46,14.83,2.23,12.6,-9.12,58.76,0.23,20.95,54
1997-09-01,5.86,24,5.54,18.46,14.11,2.15,11.95,-17.26,64.91,0.24,19.09,43
1997-10-01,5.89,21,5.5,15.5,12.95,2.08,10.86,-14.61,78.47,0.39,32.7,104
1997-11-01,5.92,28,5.52,22.48,11.54,1.83,9.71,-15.34,89.58,0.77,28.99,92
1997-12-01,5.96,28,5.5,22.5,11.03,1.7,9.33,-28.24,94.76,0.35,25.81,114
1998-01-01,6.03,28,5.56,22.44,10.13,1.57,8.56,-33.54,92.54,0.46,32.16,115
1998-02-01,6.07,39,5.51,33.49,9.43,1.44,7.99,-27.71,80.72,0.77,20.03,155
1998-03-01,6.11,30,5.49,24.51,8.57,1.37,7.2,-28.38,81.62,0.42,17.94,67
1998-04-01,6.13,30,5.45,24.55,7.95,1.44,6.51,-22.64,71.78,0.38,22.26,84
1998-05-01,6.16,150,5.49,144.51,7.48,1.69,5.79,-28.81,79.4,0.73,22.99,127
1998-06-01,6.2,80,5.56,74.44,6.4,1.68,4.71,-28.69,80.09,0.69,24.2,72
1998-07-01,6.24,60,5.54,54.46,5.59,1.68,3.91,-28.17,96.19,0.37,27.64,75
1998-08-01,7.91,60,5.55,54.45,9.62,1.62,8.01,-32.94,105.85,0.62,39.75,167
1998-09-01,16.06,60,5.51,54.49,52.21,1.49,50.72,-24.52,137.43,0.49,50.15,166
1998-10-01,16.01,60,5.07,54.93,58.85,1.49,57.36,-32.34,113.4,0.4,43.79,113
1998-11-01,17.88,60,4.83,55.17,66.84,1.55,65.29,-36.32,89.47,0.51,34.86,179
1998-12-01,20.65,60,4.68,55.32,84.44,1.61,82.82,-38.46,87.53,0.6,25.64,83
1999-01-01,22.6,60,4.63,55.37,96.92,1.67,95.25,-25.74,95.32,0.58,34.02,135
1999-02-01,22.86,60,4.76,55.24,103.24,1.61,101.64,-25.26,77.96,0.47,21.44,102
1999-03-01,24.18,60,4.81,55.19,107.58,1.73,105.86,-2.39,61.63,0.78,22.88,62
1999-04-01,24.23,60,4.74,55.26,113.06,2.28,110.79,13.49,58.4,1.05,21.43,63
1999-05-01,24.44,60,4.74,55.26,116.71,2.09,114.62,19.51,72.06,0.77,19.48,94
1999-06-01,24.22,55,4.76,50.24,120.67,1.96,118.71,30.96,70.96,0.7,20.6,116
1999-07-01,24.19,55,4.99,50.01,126.51,2.14,124.37,42.25,70.47,0.3,23.39,116
1999-08-01,24.75,55,5.07,49.93,121.03,2.26,118.76,59.08,61.11,0.56,26.13,81
1999-09-01,25.08,55,5.22,49.78,62.03,2.63,59.4,59.38,65.16,0.67,22.1,97
1999-10-01,26.05,55,5.2,49.8,57.12,2.56,54.56,57.01,66.9,0.84,25.32,106
1999-11-01,26.42,55,5.42,49.58,50.52,2.62,47.89,96.21,65.2,0.65,19.45,110
1999-12-01,27,55,5.3,49.7,36.56,2.68,33.87,131.14,56.47,0.97,17.24,86
2000-01-01,28.55,45,5.45,39.55,28.93,2.74,26.2,118.92,61.93,0.73,24.41,74
2000-02-01,28.66,45,5.73,39.27,25.11,3.22,21.89,144.6,54.17,0.53,19.91,37
2000-03-01,28.46,33,5.85,27.15,22.49,3.76,18.73,103.89,57.86,0.35,26.1,117
2000-04-01,28.4,33,6.02,26.98,19.95,3.07,16.88,49.03,60.74,0.44,43.43,78
2000-05-01,28.25,33,6.27,26.73,19.4,3.19,16.21,62.5,83.03,0.47,34.31,155
2000-06-01,28.07,33,6.53,26.47,20.15,3.73,16.42,78.09,82.19,0.52,24.22,117
2000-07-01,27.8,28,6.54,21.46,18.94,3.66,15.28,49.51,58.75,0.41,20.33,73
2000-08-01,27.75,28,6.5,21.5,18.73,3.41,15.32,46.86,51.14,0.34,18.05,64
2000-09-01,27.75,28,6.52,21.48,18.54,3.45,15.09,42.29,61.39,0.36,18.6,58
2000-10-01,27.83,25,6.51,18.49,19.41,3.45,15.96,46.41,67.85,0.45,28.47,135
2000-11-01,27.85,25,6.51,18.49,19.75,3.45,16.3,37.8,103.55,0.29,30.65,227
2000-12-01,28.16,25,6.4,18.6,20.2,3.39,16.81,9.01,97.45,0.32,34.11,156
2001-01-01,28.37,25,5.98,19.02,20.71,3.73,16.97,8.29,94.59,0.39,28.86,142
2001-02-01,28.72,25,5.49,19.51,22.19,3.53,18.65,0.75,93.79,0.44,20.95,127
2001-03-01,28.74,25,5.31,19.69,23.67,2.92,20.75,-8.87,105.65,0.35,31.15,130
2001-04-01,28.83,25,4.8,20.2,24.77,3.27,21.5,6.41,100.74,0.28,27.16,122
2001-05-01,29.09,25,4.21,20.79,24.81,3.62,21.19,-0.77,80.03,0.51,22.15,123
2001-06-01,29.11,25,3.97,21.03,23.68,3.25,20.43,-13.37,69.43,0.45,17.06,85
2001-07-01,29.27,25,3.77,21.23,22.05,2.72,19.33,-11.83,94.41,0.51,22.32,107
2001-08-01,29.37,25,3.65,21.35,20.88,2.72,18.16,-12.01,84.08,0.33,19.97,112
2001-09-01,29.39,25,3.07,21.93,20.02,2.65,17.37,-22.59,167.84,1.7,42.43,239
2001-10-01,29.7,25,2.49,22.51,18.82,2.13,16.69,-32.85,166.14,1.82,29.34,256
2001-11-01,29.9,25,2.09,22.91,18.63,1.9,16.73,-43.32,120.09,1.38,26.4,156
2001-12-01,30.14,25,1.82,23.18,18.58,1.55,17.03,-31.95,103.96,0.9,24.36,120
2002-01-01,30.69,25,1.73,23.27,18.96,1.14,17.82,-33.49,104.61,0.46,28.65,122
2002-02-01,30.93,25,1.74,23.26,17.66,1.14,16.52,-29.77,88.28,0.52,24.85,43
