Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49233,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMAX(1,1,1,F)"
11/1/2022,5.2521,5.206096519,5.022321145,5.152391435,5.159792151,5.268409463,5.293015902,5.210128915,5.250870482,4.909301559,5.046224824,3.915277073,4.71027701,5.107787624,4.895010429,2.939647675,5.20880411
12/1/2022,5.2521,5.155269173,5.035478764,5.06037645,5.101123113,5.282039039,5.28388659,5.210128915,5.249881294,4.910200198,4.981656353,3.479997636,4.784318751,4.940701187,5.036693989,3.212917923,5.130997578
1/1/2023,5.2521,5.104875982,5.029094876,4.990787664,4.992464491,5.293430411,5.285032567,5.210128915,5.24889278,4.883028615,4.940142016,5.519507661,4.536211508,4.768065857,5.084196589,3.293443113,5.085600206
2/1/2023,5.2521,5.055456052,5.056281135,4.954842061,4.910626582,5.302951128,5.283878088,5.210128915,5.247904941,4.917041338,4.909230839,5.381749393,4.687004576,4.895979467,5.298554174,3.743738096,5.064843372
3/1/2023,5.2521,5.00704755,5.053644722,4.85379014,4.809950206,5.310908384,5.290602217,5.210128915,5.246917776,4.917884403,4.886307561,5.510795747,5.299018466,4.914277862,5.423231393,3.675202386,4.981647178
4/1/2023,5.2521,4.959635821,5.091898636,4.841270981,4.739412861,5.317558925,5.29625058,5.210128915,5.245931284,4.925097233,4.868856425,7.294220946,4.514783113,5.161198359,5.581657674,3.58338231,4.95676081
5/1/2023,5.2521,4.913200983,5.077089835,4.798586214,4.682095601,5.323117336,5.301701312,5.210128915,5.244945465,4.950187342,4.855450304,6.529638101,5.161939793,5.49195082,5.715004425,3.910756833,4.917189738
6/1/2023,5.2521,4.867722975,5.089843519,4.771715334,4.63249673,5.327762962,5.305716662,5.210128915,5.24396032,4.894430991,4.845056042,5.525189913,5.203889109,5.729457532,5.979965782,3.732936145,4.89127212
7/1/2023,5.2521,4.823182089,5.111331882,4.743421294,4.588341312,5.331645699,5.309702638,5.210128915,5.242975847,4.938624436,4.836945259,6.309485015,4.808459142,5.9098011,6.128400711,3.90621561,4.863493296
8/1/2023,5.2521,4.779559016,5.143376953,4.780477571,4.548341167,5.334890825,5.313696234,5.210128915,5.241992047,4.996394577,4.830584418,6.051168687,5.277070763,6.53989469,6.413682271,4.001430433,4.925535144
9/1/2023,5.2521,4.736834841,5.228707839,4.679170119,4.511665756,5.337603047,5.317846845,5.210128915,5.241008918,5.042533431,4.825576647,6.864906791,5.22335035,6.401416912,6.374993637,4.063107168,5.004722246
10/1/2023,5.2521,4.694991044,5.23659588,4.551751161,4.477736696,5.339869877,5.321923035,5.210128915,5.240026461,5.07400192,4.821622202,7.43475111,5.363848506,6.311840936,6.588218626,4.10330003,5.049381258
