Date,Naive,AR(1),"ARIMAx(0,1,0)","ARNNx(1,4)","ARFIMAx(0,0.49261,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(2,5,1,F)"
11/1/2021,5.5416,5.475352927,5.408856587,5.261610616,5.587418784,5.652873042,5.578818151,5.656282933,5.540322098,5.403206139,4.984437448,4.727693777,3.791147503,3.840031729,4.27857262,2.908609048,5.236564109
12/1/2021,5.5416,5.410600211,5.422807966,5.083889062,5.482966391,5.746177405,5.571767082,5.656282933,5.539045009,5.431728812,4.786288938,4.59827949,3.987629676,3.446238133,4.073729945,2.779776329,5.232372855
1/1/2022,5.5416,5.347308143,5.412296254,4.987991254,5.344692585,5.824397922,5.569136123,5.656282933,5.537768734,5.419961241,4.650013357,3.779649688,3.828274754,3.720632994,4.254227268,2.902908333,5.216952658
2/1/2022,5.5416,5.285443775,5.440521558,4.939570928,5.189838115,5.88997309,5.59439458,5.656282933,5.536493271,5.481031432,4.551741165,4.983736109,4.317536012,4.011035752,4.380257453,2.840372233,5.164788136
3/1/2022,5.5416,5.224974902,5.443467934,4.799038856,5.037352498,5.944947191,5.625509848,5.656282933,5.535218621,5.501195999,4.477680436,3.995847122,3.835846401,4.34260021,4.425898353,2.979195918,5.111484418
4/1/2022,5.5416,5.165870046,5.482982438,4.758576401,4.910325692,5.991034023,5.652848697,5.656282933,5.533944783,5.511445385,4.420245003,5.469393341,4.093627252,4.878517164,4.546314766,3.090369036,5.08295849
5/1/2022,5.5416,5.108098437,5.46737642,4.698244889,4.819518906,6.029670328,5.676344677,5.656282933,5.532671756,5.517114709,4.374854949,4.537123093,4.22938474,5.406168369,4.732345015,3.373865292,5.075032076
6/1/2022,5.5416,5.051630001,5.481109532,4.661442372,4.744945229,6.06206058,5.699405903,5.656282933,5.53139954,5.469359409,4.338444606,3.561739334,4.169023736,5.613489211,4.728989175,3.253349712,5.07120301
7/1/2022,5.5416,4.996435342,5.505194765,4.615635094,4.680845379,6.089214531,5.723243808,5.656282933,5.530128135,5.490284038,4.308898116,5.669143172,4.414177623,5.757396568,4.806564283,3.394172529,5.067587329
8/1/2022,5.5416,4.942485727,5.535953341,4.658582746,4.624316355,6.111978699,5.747504133,5.656282933,5.528857541,5.565099151,4.28469924,4.11979421,4.618006783,5.814991519,4.845473149,3.394187691,5.076268502
9/1/2022,5.5416,4.889753071,5.636337628,4.380919738,4.573606726,6.131062746,5.771667749,5.656282933,5.527587756,5.570987938,4.26473572,3.458229136,4.917237196,6.029705068,4.919703963,3.616833103,5.063074263
10/1/2022,5.5416,4.838209923,5.64591968,4.110175822,4.527552467,6.147061613,5.795624016,5.656282933,5.526318781,5.609124365,4.248169463,4.940216961,4.735342388,6.00619537,4.991799744,3.901533381,5.063021535
11/1/2022,5.5416,4.787829451,5.652597767,3.967601874,4.485329899,6.160474058,5.819468079,5.656282933,5.525050616,5.610788705,4.234356647,5.146932775,5.205436488,6.475231712,5.122017304,3.646224687,5.063022869
12/1/2022,5.5416,4.738585428,5.632893417,3.705207079,4.44632953,6.171718209,5.8432726,5.656282933,5.523783259,5.59078675,4.222794466,5.837667422,4.992708826,6.278198629,5.147129318,4.112544626,5.063933614
1/1/2023,5.5416,4.690452218,5.656973637,3.532356906,4.410084851,6.181144599,5.867041457,5.656282933,5.52251671,5.599024488,4.213084882,5.452557206,5.266408593,5.94723748,5.066194195,4.057297827,5.057880242
2/1/2023,5.5416,4.643404765,5.650249628,3.427048129,4.376229177,6.189047093,5.890756203,5.656282933,5.52125097,5.620141699,4.204909153,5.448968863,5.64863535,5.595246856,4.798975802,4.100352628,5.063686284
3/1/2023,5.5416,4.597418577,5.655265804,3.35551283,4.344468016,6.195672046,5.914408004,5.656282933,5.519986037,5.647771474,4.198009553,5.331755549,5.996918548,5.134629824,4.666209502,4.107751398,5.06754703
4/1/2023,5.5416,4.552469714,5.671803219,3.327969518,4.314560608,6.201225991,5.937998421,5.656282933,5.518721911,5.665754066,4.192175978,5.721358817,5.785138858,5.248714251,4.728463469,4.344020001,5.068205503
5/1/2023,5.5416,4.508534777,5.706038047,3.343448837,4.286307151,6.20588207,5.961530706,5.656282933,5.517458592,5.718488624,4.187235961,5.840951809,5.847373339,5.310501348,4.756042109,4.358390792,5.073432524
6/1/2023,5.5416,4.465590896,5.712754331,3.488301006,4.259539694,6.209785434,5.985005928,5.656282933,5.51619608,5.677705066,4.18304709,6.591666721,5.981459169,5.224145208,4.683947746,4.328066173,5.079843052
7/1/2023,5.5416,4.423615713,5.832250917,3.614108061,4.234115494,6.213057769,6.008423749,5.656282933,5.514934374,5.709429963,4.17949118,7.044587994,6.302015168,5.329841717,4.748907853,4.847260968,5.082101326
8/1/2023,5.5416,4.382587379,5.844564892,3.625536812,4.20991205,6.215801089,6.031783848,5.656282933,5.513673474,5.73524581,4.176469736,7.360844401,6.427075209,5.431228861,4.912978405,4.678030305,5.064055175
9/1/2023,5.5416,4.342484534,5.789669841,3.534901391,4.186823338,6.218100916,6.055086306,5.656282933,5.512413379,5.721209185,4.173900372,7.426954768,6.736015482,5.329051781,4.993211712,4.245339147,5.066075708
10/1/2023,5.5416,4.303286302,5.801613348,3.429671238,4.164756897,6.220028947,6.078331368,5.656282933,5.511154088,5.761511944,4.171713966,7.017337508,6.614108538,5.388539234,5.240786536,5.007854085,5.060540035
