Date,Naive,AR(2),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.49035,5)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(4,2,1,T)"
11/1/2019,4.0825,4.032297864,3.976821615,3.918647335,4.045388079,4.0995073,4.048049995,4.069662147,4.082297644,4.106381927,3.723072633,7.959790076,4.913828588,5.738815951,5.838278572,2.855355165,4.121805715
12/1/2019,4.0825,3.981448273,3.996114837,3.804070005,4.038535847,4.113111466,4.008332605,4.069662147,4.082095471,4.14601212,3.639018246,6.202351253,5.94184512,5.797530882,5.980451844,3.041973795,4.090105203
1/1/2020,4.0825,3.931838267,4.004681429,3.768989672,3.947913843,4.123999774,3.949350226,4.069662147,4.081893479,4.101561915,3.562526926,7.039117154,5.9658922,5.831910197,6.014963538,2.820780751,4.118471978
2/1/2020,4.0825,3.883716351,4.027040688,3.775106597,3.823690783,4.132714401,3.89395723,4.069662147,4.081691671,4.114458338,3.499532336,5.223294534,5.585445334,6.213770637,6.169595565,2.76664375,4.20938358
3/1/2020,4.0825,3.837080444,4.029977604,3.713036312,3.741539764,4.13968929,3.84666742,4.069662147,4.081490044,4.131316583,3.447915447,9.458466111,5.356704325,6.291262174,6.244329533,2.816289371,4.213064239
4/1/2020,4.0825,3.791891191,4.044264862,3.702244466,3.676129803,4.145271751,3.802702585,4.069662147,4.081288599,4.080072256,3.405336303,7.181311311,6.489055013,6.155824598,6.336242362,3.294225481,4.223915961
5/1/2020,4.0825,3.748104721,4.044781162,3.694174109,3.626170025,4.149739762,3.76401499,4.069662147,4.081087335,4.126459443,3.369807364,7.197709222,6.202840175,6.653130004,6.330703354,3.043315419,4.284475065
6/1/2020,4.0825,3.705677643,4.053495877,3.699466242,3.584402191,4.153315804,3.731687352,4.069662147,4.080886254,4.125606408,3.339879688,7.305359015,5.631245951,6.523508777,6.585050662,3.115348557,4.335656086
7/1/2020,4.0825,3.664567778,4.071150678,3.689706271,3.548221936,4.156177946,3.704231066,4.069662147,4.080685354,4.10012896,3.314439325,6.845906647,7.162177659,6.810125043,6.641277123,3.039037839,4.360280725
8/1/2020,4.0825,3.624734233,4.10006688,3.748287328,3.516193242,4.158468705,3.681006355,4.069662147,4.080484635,4.17292865,3.292650648,5.488070931,7.012538397,7.066172839,6.732445277,3.020204407,4.499273813
9/1/2020,4.0825,3.586137384,4.190872865,3.500191849,3.487406229,4.160302151,3.661753627,4.069662147,4.080284097,4.251139811,3.27387016,7.803785168,5.967718671,7.029927177,6.910025371,3.211271367,4.496537055
10/1/2020,4.0825,3.548738837,4.207090361,3.264952452,3.461237468,4.161769578,3.645801277,4.069662147,4.080083741,4.193353132,3.257594989,7.593545603,7.147310472,6.957581424,7.085758045,3.103047794,4.439234972
