Date,Naive,AR(1),"ARIMAx(0,1,0)","ARNNx(2,4)","ARFIMAx(0,0.4966,4)",ETS,SETAR,TBATS,GARCH,BSTSx,DeepAR,NBEATSx,NHiTSx,DLinearx,NLinearx,TSMixerx,"NARFIMA(1,2,4,T)"
11/1/2021,6.4172,6.41846926,6.356971704,6.382904541,6.388493144,6.395779073,6.402035158,6.398234286,7.237497768,6.352191165,7.307246866,8.563343809,10.5377048,7.993650104,7.872382352,6.579581896,6.534204299
12/1/2021,6.4172,6.42424067,6.357220789,6.347398812,6.416722442,6.378635593,6.400535157,6.388824226,7.237354607,6.349064187,7.324283741,9.08777387,10.63768732,7.840878317,7.897743714,6.592153186,6.440460184
1/1/2022,6.4172,6.430478042,6.350475583,6.339661296,6.480516337,6.364917417,6.401095378,6.381296176,7.237211539,6.302011887,7.325023018,9.784833581,11.14303853,7.853119522,7.910652604,6.613920323,6.462064372
2/1/2022,6.4172,6.436727437,6.353539227,6.338133272,6.531688448,6.353940162,6.404114642,6.375273735,7.237068564,6.302704904,7.325052659,8.685919088,11.26261029,7.939854712,7.949971812,6.582467413,6.49291034
3/1/2022,6.4172,6.442938061,6.36370652,6.340619556,6.567471999,6.345156185,6.41004803,6.370455781,7.236925682,6.295041969,7.325053842,8.840524371,10.13369035,7.88360107,7.92978723,6.544217958,6.535293495
4/1/2022,6.4172,6.449104489,6.362343145,6.336980938,6.593174638,6.338127266,6.417534145,6.366601417,7.236782892,6.291248328,7.325053889,9.138718699,10.33339545,7.802296682,7.893991556,6.568409717,6.573807292
5/1/2022,6.4172,6.455226399,6.360121964,6.350982479,6.613892841,6.33250274,6.425767759,6.363517925,7.236640194,6.287552401,7.325053891,9.582955572,10.32541567,7.915599221,7.949496055,6.57307737,6.625257976
6/1/2022,6.4172,6.461304038,6.360113455,6.375816766,6.631385589,6.328002006,6.434529733,6.361051131,7.236497589,6.279844958,7.325053891,10.05893334,10.25231238,8.025785824,8.01989149,6.578512152,6.678544753
7/1/2022,6.4172,6.467337721,6.361657422,6.398146041,6.646575364,6.324400529,6.443620663,6.359077696,7.236355077,6.281408943,7.325053891,9.668859715,9.992251545,8.086702619,8.150284425,6.620172099,6.730472429
8/1/2022,6.4172,6.473327763,6.369169704,6.443648021,6.660023705,6.321518634,6.452846685,6.357498947,7.236212656,6.287750472,7.325053891,8.603918205,11.4911305,8.132999302,8.215600808,6.633642374,6.779170166
9/1/2022,6.4172,6.47927448,6.373542551,6.479669734,6.67210311,6.319212548,6.462093933,6.356235948,7.236070328,6.266594987,7.325053891,9.479402911,11.27659178,8.295189796,8.42524384,6.57932657,6.815340399
10/1/2022,6.4172,6.485178186,6.375958411,6.505953558,6.683075379,6.317367223,6.471297308,6.355225549,7.235928093,6.262043221,7.325053891,8.943860865,10.06635839,8.406172139,8.584685037,6.602874186,6.855930809
11/1/2022,6.4172,6.491039191,6.373295316,6.537072255,6.693132436,6.315890598,6.480409892,6.354417229,7.235785949,6.245508562,7.325053891,9.860990855,10.50636782,8.549804004,8.695590938,6.594441849,6.90007796
12/1/2022,6.4172,6.496857806,6.374288523,6.562646695,6.702419597,6.314709006,6.489399468,6.353770573,7.235643898,6.248065792,7.325053891,10.47340677,9.879516303,8.765667039,8.781061093,6.59379165,6.947130227
1/1/2023,6.4172,6.502634335,6.371630067,6.57171356,6.711049749,6.313763498,6.498246491,6.353253248,7.235501939,6.210011817,7.325053891,10.00425119,11.08462797,8.819710927,8.839588841,6.507594974,6.991273987
2/1/2023,6.4172,6.508369084,6.36808163,6.581421044,6.719112447,6.313006905,6.506939234,6.352839388,7.235360072,6.205644583,7.325053891,10.00884888,9.696388069,8.894863151,8.821586535,6.595707648,7.027636891
3/1/2023,6.4172,6.514062354,6.371835174,6.594350125,6.726679987,6.312401481,6.515470753,6.3525083,7.235218297,6.199659274,7.325053891,10.32584243,9.910806074,8.779248784,8.727365791,6.546925321,7.06280104
4/1/2023,6.4172,6.519714446,6.369816142,6.601917551,6.733811603,6.311917021,6.523837507,6.35224343,7.235076614,6.197730652,7.325053891,10.81456985,10.36407641,8.732784157,8.690859562,6.524970035,7.092748347
5/1/2023,6.4172,6.525325658,6.374559653,6.603353318,6.74055645,6.311529358,6.532038312,6.352031533,7.234935023,6.204283378,7.325053891,9.079420014,10.26771399,8.80668271,8.725457104,6.594767581,7.110570483
6/1/2023,6.4172,6.530896285,6.377906402,6.631079371,6.746955779,6.311219151,6.540073514,6.351862016,7.234793524,6.201626179,7.325053891,8.762081675,10.44882053,8.939848969,8.748973785,6.520853679,7.142370057
7/1/2023,6.4172,6.536426621,6.388170446,6.661496261,6.75304454,6.310970924,6.547944453,6.351726402,7.234652117,6.208798432,7.325053891,9.478761662,10.06388206,9.072022221,8.821727772,6.575716548,7.167057411
8/1/2023,6.4172,6.541916957,6.377566717,6.687457342,6.758852612,6.310772293,6.555653134,6.351617911,7.234510802,6.202859112,7.325053891,10.86480661,9.865713125,9.253887908,8.965916075,6.497433805,7.189090329
9/1/2023,6.4172,6.547367583,6.373204451,6.723776063,6.764405732,6.310613349,6.563201987,6.351531118,7.234369578,6.171429173,7.325053891,10.03470354,10.7363304,9.196139669,8.942813236,6.519987251,7.215277006
10/1/2023,6.4172,6.552778785,6.370661753,6.734683382,6.769726228,6.310486162,6.570593707,6.351461684,7.234228446,6.163116369,7.325053891,9.415272336,10.14033391,9.210166435,8.92057271,6.582877037,7.227965851
